Bin	Full.Model	Reduced.Model	Stein.Scott.Similarity	Stein.Scott.Similarity.Nist	DFT.Correlation	DWT.Correlation	Weighted.Cosine.Correlation	Inner.Product.Distance	Truth.Annotation
UDN_BG_A_C_Biorec291064_M_012 & 12	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 13	1	2	3	3	3	3	3	4	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 15	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 19	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 28	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 31	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 37	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 38	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 40	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 44	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 47	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 51	1	2	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 52	1	1	1	1	1	1	2	5	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 58	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 60	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 63	1	1	6	5	7	7	7	7	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 66	1	1	2	1	1	1	1	5	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 69	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 76	1	2	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 99	2	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 102	1	2	5	5	2	3	2	14	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 123	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec291064_M_012 & 130	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 9	10	9	7	6	5	5	8	3	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 10	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 11	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 12	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 27	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 30	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 34	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 36	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 38	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 40	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 41	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 43	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 46	1	1	1	1	1	1	1	7	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 47	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 50	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 53	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 54	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 56	1	1	5	4	5	2	7	7	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 59	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 62	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 68	1	1	1	1	1	1	1	1	True.Positive
